timestamp,position,velocity,acceleration,attitude,body_rate,actuator
1905382714,1,0,0,0,0,0
1905402585,1,0,0,0,0,0
1905502591,1,0,0,0,0,0
1905602689,1,0,0,0,0,0
1905702794,1,0,0,0,0,0
1905802811,1,0,0,0,0,0
1905922662,1,0,0,0,0,0
1906022565,1,0,0,0,0,0
1906122613,1,0,0,0,0,0
1906202785,1,0,0,0,0,0
1906303088,1,0,0,0,0,0
1906403269,1,0,0,0,0,0
1906502732,1,0,0,0,0,0
1906602481,1,0,0,0,0,0
1906722557,1,0,0,0,0,0
1906823343,1,0,0,0,0,0
1906922442,1,0,0,0,0,0
1907003672,1,0,0,0,0,0
1907122637,1,0,0,0,0,0
1907222607,1,0,0,0,0,0
1907322641,1,0,0,0,0,0
1907422609,1,0,0,0,0,0
1907522717,1,0,0,0,0,0
1907602643,1,0,0,0,0,0
1907662780,1,0,0,0,0,0
1928953412,1,0,0,0,0,0
1928980996,1,0,0,0,0,0
1929053405,1,0,0,0,0,0
1929153892,1,0,0,0,0,0
1929253412,1,0,0,0,0,0
1929353448,1,0,0,0,0,0
1929453387,1,0,0,0,0,0
1929553302,1,0,0,0,0,0
1929634141,1,0,0,0,0,0
1929753966,1,0,0,0,0,0
1929853684,1,0,0,0,0,0
1929953399,1,0,0,0,0,0
1930053257,1,0,0,0,0,0
1930153412,1,0,0,0,0,0
1930253462,1,0,0,0,0,0
1930353401,1,0,0,0,0,0
1930453373,1,0,0,0,0,0
1930553465,1,0,0,0,0,0
1930653412,1,0,0,0,0,0
1930753330,1,0,0,0,0,0
1930853375,1,0,0,0,0,0
1930954395,1,0,0,0,0,0
1931054103,1,0,0,0,0,0
1931153349,1,0,0,0,0,0
1931253823,1,0,0,0,0,0
1931333326,1,0,0,0,0,0
1931434037,1,0,0,0,0,0
1931533365,1,0,0,0,0,0
1931654687,1,0,0,0,0,0
1931753404,1,0,0,0,0,0
1931853767,1,0,0,0,0,0
1931953367,1,0,0,0,0,0
1932053138,1,0,0,0,0,0
1932133493,1,0,0,0,0,0
1932234160,1,0,0,0,0,0
1932344884,1,0,0,0,0,0
1932453912,1,0,0,0,0,0
1932553601,1,0,0,0,0,0
1932653158,1,0,0,0,0,0
1932753309,1,0,0,0,0,0
1932853915,1,0,0,0,0,0
