timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
297472059,297470929,20740449,41.1790081,-8.6036451,0.6177879,2.0674727,-1.1419094,0.00023569915,-0.0010364398,-6.15716e-05,-0.01333419,0.01998871,0.03422194,0.069099225,0.0054122694,-0.00391737,-0.021185223,0.8171532,-0.4989168,0.50513,0.19066317,0.0086743,108.99439,0.094287395,0.33356053,0.3115756,0.13914476,0.09703985,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
297571940,297570878,20740449,41.1790081,-8.6036451,0.6141972,2.0681374,-1.1359663,0.00023569915,-0.0010364398,-6.15716e-05,-0.012849699,0.020913262,0.0364889,0.070258886,0.0054122694,-0.00391737,-0.021185223,0.82838905,-0.5011241,-0.23318557,0.19075638,0.0086743,108.99439,0.101934195,0.32540783,0.30746454,0.13468665,0.09555268,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
297671878,297670828,20740449,41.1790081,-8.6036451,0.60884297,2.068173,-1.1285985,0.00023569915,-0.0010364398,-6.15716e-05,-0.0167726,0.019629445,0.035433866,0.06941854,0.0054122694,-0.00391737,-0.021185223,-0.5665775,-0.6891046,-0.2440882,0.191048,0.0086743,108.99439,0.09311712,0.33360082,0.3115456,0.13912079,0.09702891,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
297771870,297770776,20740449,41.1790081,-8.6036451,0.60413545,2.068366,-1.1223085,0.00023569915,-0.0010364398,-6.15716e-05,-0.019623963,0.021440081,0.037199583,0.07039291,0.0054122694,-0.00391737,-0.021185223,-0.32008997,-0.35293084,-0.1552918,0.19123983,0.0086743,108.99439,0.103859305,0.32550815,0.30746195,0.13473763,0.095559575,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
297871879,297870725,20740449,41.1790081,-8.6036451,0.5994244,2.0680246,-1.1143175,0.00023569915,-0.0010364398,-6.15716e-05,-0.01660464,0.022139879,0.040205993,0.074172966,0.0054122694,-0.00391737,-0.021185223,0.68953,0.22396265,0.93322587,0.19148967,0.0086743,108.99439,0.09316659,0.33370423,0.31154338,0.13917516,0.09703593,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
297971670,297970674,20740449,41.1790081,-8.6036451,0.5952169,2.0681052,-1.1083716,0.00023569915,-0.0010364398,-6.15716e-05,-0.014457442,0.02290116,0.040167715,0.07280116,0.0054122694,-0.00391737,-0.021185223,0.30396995,0.37316626,0.21448259,0.19171987,0.0086743,108.99439,0.10178685,0.32553738,0.30742937,0.13470027,0.09554893,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298071577,298070623,20740449,41.1790081,-8.6036451,0.59011453,2.0677798,-1.1006176,0.00023569915,-0.0010364398,-6.15716e-05,-0.019597936,0.02171262,0.03932311,0.07236629,0.0054122694,-0.00391737,-0.021185223,-0.5939599,0.59888124,-0.25134718,0.19202085,0.0086743,108.99439,0.09427214,0.3337289,0.31150994,0.1391435,0.09702556,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298171570,298170572,20740449,41.1790081,-8.6036451,0.58627665,2.0679686,-1.0942445,0.00023569915,-0.0010364398,-6.15716e-05,-0.01794586,0.018930074,0.037184443,0.06933976,0.0054122694,-0.00391737,-0.021185223,0.057981726,-0.6515447,-0.39461616,0.19228709,0.0086743,108.99439,0.09846282,0.32564405,0.3074291,0.13476023,0.09555705,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298271481,298270522,20740449,41.1790081,-8.6036451,0.58357817,2.0683467,-1.087723,0.00023569915,-0.0010364398,-6.15716e-05,-0.014652377,0.017599491,0.042334277,0.073735654,0.0054122694,-0.00391737,-0.021185223,1.1190225,-0.904211,0.5066058,0.19248721,0.0086743,108.99439,0.09237492,0.33383936,0.31151012,0.1392124,0.09703345,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298371571,298370470,20740449,41.1790081,-8.6036451,0.5806221,2.0690606,-1.0817729,0.00023569915,-0.0010364398,-6.15716e-05,-0.014105693,0.018270947,0.039373364,0.06960114,0.0054122694,-0.00391737,-0.021185223,0.14693803,-0.34784907,0.14875138,0.19268195,0.0086743,108.99439,0.09802055,0.3257411,0.3074293,0.1347974,0.09556477,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298471513,298470420,20740449,41.1790081,-8.6036451,0.5765973,2.0697842,-1.0750332,0.00023569915,-0.0010364398,-6.15716e-05,-0.018564608,0.023743978,0.039894417,0.06973033,0.0054122694,-0.00391737,-0.021185223,-0.6273949,1.0185573,-0.3651523,0.19289781,0.0086743,108.99439,0.09220016,0.33393925,0.31151077,0.13925269,0.097041465,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298571610,298570373,20740449,41.1790081,-8.6036451,0.573234,2.0698907,-1.069726,0.00023569915,-0.0010364398,-6.15716e-05,-0.01733506,0.024165692,0.03887291,0.06701886,0.0054122694,-0.00391737,-0.021185223,-0.34519434,1.7772946,-0.09398673,0.1932055,0.0086743,108.99439,0.09359884,0.3258487,0.30742988,0.13484882,0.095572494,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298671372,298670318,20740449,41.1790081,-8.6036451,0.5702189,2.0682092,-1.064755,0.00023569915,-0.0010364398,-6.15716e-05,-0.0145086525,0.019476674,0.041001957,0.06732915,0.0054122694,-0.00391737,-0.021185223,0.34458628,-0.3411437,0.41305754,0.19340761,0.0086743,108.99439,0.08927071,0.33404997,0.3115118,0.1392974,0.097049356,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
