timestamp,x,y,z
1715619037300031,-0.4755527973175049,-0.17644333839416504,-1.6810824871063232
1715619037308031,-0.47811228036880493,-0.17848241329193115,-1.6813595294952393
1715619037316031,-0.48062241077423096,-0.18048976361751556,-1.681660771369934
1715619037324031,-0.4867643117904663,-0.18758854269981384,-1.6834241151809692
1715619037332031,-0.49279454350471497,-0.1945696473121643,-1.6851778030395508
1715619037348031,-0.5045287013053894,-0.20819038152694702,-1.6886628866195679
1715619037356031,-0.5102443695068359,-0.214838907122612,-1.690394639968872
1715619037364031,-0.5158572196960449,-0.22138161957263947,-1.6921195983886719
1715619037380031,-0.5267833471298218,-0.2341601550579071,-1.6955475807189941
1715619037388031,-0.5321006774902344,-0.24040113389492035,-1.6972506046295166
1715619037396031,-0.5373234748840332,-0.24654673039913177,-1.6989471912384033
1715619037404031,-0.5424538254737854,-0.2525992691516876,-1.7006374597549438
1715619037420031,-0.5524414777755737,-0.26443034410476685,-1.7039977312088013
1715619037428031,-0.5572947859764099,-0.2701975405216217,-1.7056643962860107
1715619037436031,-0.5620598793029785,-0.27587664127349854,-1.7073239088058472
1715619037444031,-0.5667378902435303,-0.2814688980579376,-1.7089765071868896
1715619037460031,-0.5738833546638489,-0.2935390770435333,-1.7128214836120605
1715619037468031,-0.5773603320121765,-0.299435019493103,-1.7147247791290283
1715619037476031,-0.5807737708091736,-0.30523979663848877,-1.7166154384613037
1715619037484031,-0.5841240286827087,-0.3109545409679413,-1.7184878587722778
1715619037500031,-0.5906374454498291,-0.3221142292022705,-1.722193956375122
1715619037508031,-0.593800961971283,-0.3275614380836487,-1.7240276336669922
1715619037516031,-0.5969018340110779,-0.3329229950904846,-1.7258479595184326
1715619037524031,-0.5999402403831482,-0.33819979429244995,-1.7276549339294434
1715619037540031,-0.6058308482170105,-0.34850266575813293,-1.7312161922454834
1715619037548031,-0.6086834669113159,-0.3535299003124237,-1.7329758405685425
1715619037556031,-0.6114745140075684,-0.3584752380847931,-1.734721064567566
1715619037564031,-0.6142231225967407,-0.363347589969635,-1.7364516258239746
1715619037572031,-0.6169108748435974,-0.36813902854919434,-1.7381672859191895
1715619037588031,-0.6196832656860352,-0.3763405680656433,-1.7423335313796997
1715619037596031,-0.6210160851478577,-0.38033831119537354,-1.7443779706954956
1715619037604031,-0.6223127841949463,-0.3842677175998688,-1.746396541595459
1715619037620031,-0.6247960925102234,-0.3919224143028259,-1.7503560781478882
1715619037628031,-0.6259819865226746,-0.3956480920314789,-1.7522879838943481
1715619037636031,-0.6271301507949829,-0.3993063271045685,-1.7541941404342651
1715619037644031,-0.6282373666763306,-0.40289440751075745,-1.75607430934906
1715619037660031,-0.630336582660675,-0.40986981987953186,-1.7597566843032837
1715619037668031,-0.6313282251358032,-0.4132578372955322,-1.7615588903427124
1715619037676031,-0.6322810053825378,-0.4165797233581543,-1.76333487033844
